아파트명,건축년도,전용면적,거래금액,층,동,거래유형,계약년도,계약월,계약일,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id
경남아너스빌,2002.0,79.098,"67,000",16,,중개거래,2024,9,2,,,,,개인,개인,서울 노원구,노원구,중계동,실거래,2024-09-22
한신2차,1988.0,45.92,"33,000",4,,중개거래,2024,9,4,,,,,개인,개인,서울 노원구,노원구,상계동,실거래,2024-09-22
한화꿈에그린,2005.0,84.902,"88,500",14,,중개거래,2024,9,2,,,,,개인,개인,서울 노원구,노원구,중계동,실거래,2024-09-22
상계주공14(고층),1989.0,41.3,"41,800",12,,중개거래,2024,9,4,,,,,개인,개인,서울 노원구,노원구,상계동,실거래,2024-09-22
중계그린1단지,1990.0,49.5,"52,300",2,,중개거래,2024,9,4,,,,,개인,개인,서울 노원구,노원구,중계동,실거래,2024-09-22
한진한화그랑빌,2002.0,84.97,"85,000",23,,중개거래,2024,9,3,,,,,개인,개인,서울 노원구,노원구,월계동,실거래,2024-09-22
태강아파트(아이파크),1999.0,59.34,"62,000",2,,중개거래,2024,9,1,,,,,개인,개인,서울 노원구,노원구,공릉동,실거래,2024-09-22
공릉동한보에센시티아파트,2000.0,59.4,"52,500",3,,중개거래,2024,9,2,,,,,개인,개인,서울 노원구,노원구,공릉동,실거래,2024-09-22
은평뉴타운 제각말 푸르지오(5-4단지),2010.0,84.89,"83,000",6,,중개거래,2024,9,14,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
백련산에스케이뷰아이파크,2020.0,84.9039,"100,000",11,,중개거래,2024,9,2,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
박석고개1단지힐스테이트(116~131동)BL2-1,2009.0,59.85,"83,000",2,,중개거래,2024,9,6,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
솔빛,2004.0,84.88,"46,000",1,,중개거래,2024,9,12,,,,,개인,기타,서울 은평구,은평구,역촌동,실거래,2024-09-22
은평뉴타운엘크루,2017.0,59.98,"74,500",18,,중개거래,2024,9,12,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
경향렉스빌,2004.0,84.781,"70,000",14,,중개거래,2024,9,9,,,,,개인,개인,"서울 서대문구, 서울 은평구",은평구,응암동,실거래,2024-09-22
마고정3단지센트레빌(310~322동)BL2-3,2009.0,167.14,"150,000",11,,중개거래,2024,9,10,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
상림마을7단지아이파크(719~729동)BL1-13,2008.0,134.96,"115,700",12,,중개거래,2024,9,10,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
상림마을7단지아이파크(713~718동)BL1-11,2008.0,84.95,"83,500",2,,중개거래,2024,9,10,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
상림마을7단지아이파크(709~712동)BL1-10,2008.0,84.84,"85,000",5,,중개거래,2024,9,6,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
대덕타워,2013.0,14.66,"11,900",10,,중개거래,2024,9,7,,,,,개인,개인,서울 은평구,은평구,대조동,실거래,2024-09-22
한솔,1997.0,39.96,"29,750",11,,중개거래,2024,9,12,,,,,개인,개인,서울 은평구,은평구,갈현동,실거래,2024-09-22
미미,1997.0,59.595,"51,000",5,,중개거래,2024,9,3,,,,,개인,개인,서울 은평구,은평구,갈현동,실거래,2024-09-22
백련산에스케이뷰아이파크,2020.0,59.8545,"89,500",24,,중개거래,2024,9,8,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
백련산에스케이뷰아이파크,2020.0,84.9039,"110,000",22,,중개거래,2024,9,7,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
녹번JR아파트,2002.0,59.866,"58,500",7,,중개거래,2024,9,7,,,,,개인,개인,"서울 강남구, 서울 은평구",은평구,녹번동,실거래,2024-09-22
녹번JR아파트,2002.0,59.866,"58,000",11,,중개거래,2024,9,7,,,,,개인,개인,서울 은평구,은평구,녹번동,실거래,2024-09-22
위산일리온시티,2020.0,26.9,"33,500",16,,중개거래,2024,9,7,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
백련산힐스테이트1차,2011.0,59.63,"67,000",3,,중개거래,2024,9,12,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
북한산힐스테이트1차아파트,2009.0,59.817,"76,000",9,,중개거래,2024,9,9,O,24.09.11,,,개인,개인,서울 은평구,은평구,불광동,실거래,2024-09-22
형진,1997.0,59.78,"35,800",9,,중개거래,2024,9,2,,,,,개인,개인,서울 은평구,은평구,신사동,실거래,2024-09-22
현대2,1994.0,84.83,"54,700",5,,중개거래,2024,9,8,,,,,개인,개인,서울 은평구,은평구,신사동,실거래,2024-09-22
현대2,1994.0,84.83,"57,700",5,,중개거래,2024,9,10,,,,,개인,개인,서울 은평구,은평구,신사동,실거래,2024-09-22
북한산힐스테이트1차아파트,2009.0,59.817,"75,000",6,,중개거래,2024,9,6,,,,,개인,개인,서울 은평구,은평구,불광동,실거래,2024-09-22
불광롯데캐슬,2018.0,84.99,"110,000",15,,중개거래,2024,9,4,,,,,개인,개인,서울 은평구,은평구,불광동,실거래,2024-09-22
신사씨티,1993.0,59.96,"38,300",5,,중개거래,2024,9,2,,,,,개인,개인,서울 은평구,은평구,신사동,실거래,2024-09-22
백련산에스케이뷰아이파크,2020.0,84.9039,"100,000",18,,중개거래,2024,9,9,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
DMC우방,2000.0,59.91,"66,000",14,,중개거래,2024,9,5,,,,,개인,개인,서울 은평구,은평구,증산동,실거래,2024-09-22
현대2,1994.0,84.83,"54,500",12,,중개거래,2024,9,9,,,,,개인,개인,서울 은평구,은평구,신사동,실거래,2024-09-22
백련산파크자이,2021.0,55.885,"71,300",12,,중개거래,2024,9,2,,,,,개인,개인,"경기 안양시 동안구, 서울 은평구",은평구,응암동,실거래,2024-09-22
웰빙존,2004.0,81.18,"37,800",2,,중개거래,2024,9,5,,,,,개인,개인,서울 은평구,은평구,갈현동,실거래,2024-09-22
DMC우방,2000.0,114.97,"73,000",9,101,직거래,2024,9,5,,,24.09.09,,개인,개인,,은평구,증산동,실거래,2024-09-22
백련산에스케이뷰아이파크,2020.0,59.9335,"90,000",16,,중개거래,2024,9,8,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
DMC우방,2000.0,59.91,"68,000",3,,중개거래,2024,9,6,,,,,개인,개인,"서울 도봉구, 서울 은평구",은평구,증산동,실거래,2024-09-22
녹번역e편한세상캐슬,2021.0,59.96,"107,500",9,,중개거래,2024,9,1,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
불광롯데캐슬,2018.0,84.99,"104,800",11,,중개거래,2024,9,7,,,,,개인,개인,서울 은평구,은평구,불광동,실거래,2024-09-22
녹번역e편한세상캐슬,2021.0,84.94,"120,000",8,,중개거래,2024,9,4,,,,,개인,개인,서울 은평구,은평구,응암동,실거래,2024-09-22
우물골2단지두산위브(223~244동)BL2-7,2010.0,134.43,"115,000",2,,중개거래,2024,9,5,,,,,개인,개인,서울 은평구,은평구,진관동,실거래,2024-09-22
녹번역센트레빌,2013.0,84.97,"73,100",14,,직거래,2024,9,1,,,,,개인,개인,,은평구,응암동,실거래,2024-09-22
힐스테이트녹번,2019.0,59.938,"96,500",1,,중개거래,2024,9,4,,,,,개인,개인,서울 은평구,은평구,녹번동,실거래,2024-09-22
경남아너스빌,2004.0,84.69,"58,750",19,,중개거래,2024,9,3,,,,,개인,개인,서울 은평구,은평구,구산동,실거래,2024-09-22
e편한세상 수색 에코포레,2003.0,114.18,"82,000",13,109,직거래,2024,9,3,,,24.09.04,,개인,개인,,은평구,수색동,실거래,2024-09-22
폭포동4단지힐스테이트(423~425동)BL3-10,2010.0,134.87,"112,000",7,,직거래,2024,9,2,,,,,개인,개인,,은평구,진관동,실거래,2024-09-22
대경아르체아파트,2021.0,29.99,"38,000",11,,직거래,2024,9,2,,,24.09.04,,법인,개인,,은평구,대조동,실거래,2024-09-22
이랜드타운아파트,2004.0,59.982,"57,000",6,,중개거래,2024,9,2,,,,,개인,개인,서울 은평구,은평구,신사동,실거래,2024-09-22
삼성래미안트리베라2단지,2010.0,84.29,"90,000",11,,중개거래,2024,9,7,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
극동,1992.0,84.99,"50,000",4,,중개거래,2024,9,8,,,,,개인,개인,서울 강북구,강북구,수유동,실거래,2024-09-22
에스케이북한산시티,2004.0,59.98,"63,000",6,,중개거래,2024,9,11,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
삼성,1998.0,84.96,"51,000",19,,중개거래,2024,9,11,,,,,개인,개인,서울 강북구,강북구,번동,실거래,2024-09-22
경남아너스빌(1356-0),2003.0,114.922,"73,500",11,,중개거래,2024,9,19,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
두산위브트레지움,2011.0,84.99,"84,800",13,,중개거래,2024,9,9,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
수유벽산1차,1993.0,84.92,"73,000",5,,중개거래,2024,9,12,,,,,개인,개인,서울 강북구,강북구,수유동,실거래,2024-09-22
에스케이북한산시티,2004.0,59.98,"58,300",4,,중개거래,2024,9,12,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
에스케이북한산시티,2004.0,59.98,"59,900",18,,중개거래,2024,9,9,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
래미안수유,2001.0,114.78,"82,000",12,,중개거래,2024,9,7,,,,,개인,개인,서울 강북구,강북구,수유동,실거래,2024-09-22
두산위브트레지움,2011.0,84.99,"84,800",13,,중개거래,2024,9,9,O,24.09.19,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
에스케이북한산시티,2004.0,84.92,"75,000",18,,중개거래,2024,9,6,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
에스케이북한산시티,2004.0,59.98,"55,000",1,,중개거래,2024,9,6,,,,,개인,개인,서울 강북구,강북구,미아동,실거래,2024-09-22
다인플레움,2004.0,66.73,"25,000",3,,중개거래,2024,9,2,O,24.09.03,,,개인,개인,서울 강북구,강북구,우이동,실거래,2024-09-22
거성학마을아파트,1994.0,59.99,"49,500",6,,중개거래,2024,9,12,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
우성아파트1,1992.0,83.85,"47,000",3,,중개거래,2024,9,5,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
금호2,1991.0,84.46,"53,000",2,,중개거래,2024,9,2,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
한양7,1993.0,84.86,"53,000",3,,중개거래,2024,9,9,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
한신,1995.0,84.94,"59,000",4,,중개거래,2024,9,12,,,,,개인,개인,서울 도봉구,도봉구,도봉동,실거래,2024-09-22
주공19단지(창동리버타운),1988.0,60.5,"68,000",7,,중개거래,2024,9,11,,,,,개인,개인,서울 도봉구,도봉구,창동,실거래,2024-09-22
극동아파트,1996.0,84.9,"53,000",4,,중개거래,2024,9,1,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
신동아아파트1,1986.0,53.16,"36,000",12,,중개거래,2024,9,3,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
한양7,1993.0,84.86,"52,500",4,,중개거래,2024,9,4,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
신동아아파트2,1992.0,147.48,"79,000",2,,중개거래,2024,9,2,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
창동주공3단지(해등마을),1990.0,41.3,"48,800",5,,중개거래,2024,9,5,,,,,개인,개인,서울 도봉구,도봉구,창동,실거래,2024-09-22
신동아아파트2,1992.0,84.86,"50,000",5,,중개거래,2024,9,2,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
현대1,1990.0,84.66,"50,000",2,,중개거래,2024,9,9,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
주공19단지(창동리버타운),1988.0,59.39,"71,000",6,,중개거래,2024,9,7,,,,,개인,개인,서울 도봉구,도봉구,창동,실거래,2024-09-22
창동신도브래뉴1차,2003.0,84.989,"82,500",6,,중개거래,2024,9,5,,,,,개인,개인,서울 도봉구,도봉구,창동,실거래,2024-09-22
한양1,1986.0,66.33,"67,500",12,,중개거래,2024,9,4,,,,,개인,개인,"서울 도봉구, 서울 성북구",도봉구,쌍문동,실거래,2024-09-22
성원,1989.0,84.98,"51,500",9,,중개거래,2024,9,4,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
한양2,1988.0,76.92,"48,000",5,,중개거래,2024,9,4,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
한화성원아파트,1996.0,59.88,"34,700",15,,중개거래,2024,9,3,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
미라보,1995.0,84.97,"48,350",14,,중개거래,2024,9,4,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
신동아아파트1,1986.0,84.87,"59,800",7,,중개거래,2024,9,3,,,,,개인,개인,서울 도봉구,도봉구,방학동,실거래,2024-09-22
브라운스톤쌍문,2006.0,59.9788,"60,000",10,,중개거래,2024,9,3,,,,,개인,개인,서울 도봉구,도봉구,쌍문동,실거래,2024-09-22
신창,1998.0,49.77,"35,000",15,,중개거래,2024,9,1,,,,,개인,개인,서울 도봉구,도봉구,창동,실거래,2024-09-22
면목한신,1987.0,58.46,"54,000",9,,중개거래,2024,9,19,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
용마한신,1990.0,44.35,"44,800",14,,중개거래,2024,9,11,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
성원,1994.0,84.91,"60,000",9,,중개거래,2024,9,12,,,,,개인,개인,서울 중랑구,중랑구,신내동,실거래,2024-09-22
신내,1996.0,59.76,"59,000",10,,중개거래,2024,9,13,,,,,개인,개인,서울 중랑구,중랑구,묵동,실거래,2024-09-22
사가정센트럴아이파크,2020.0,59.78,"104,000",23,,중개거래,2024,9,2,,,,,개인,개인,"서울 광진구, 서울 중랑구",중랑구,면목동,실거래,2024-09-22
킴스아파트,2018.0,38.91,"31,000",4,,중개거래,2024,9,12,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
포시티,2014.0,14.855,"11,000",8,,중개거래,2024,9,14,,,,,개인,개인,서울 중랑구,중랑구,상봉동,실거래,2024-09-22
면목한신,1987.0,44.5,"38,000",10,,중개거래,2024,9,19,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
중랑숲리가,2012.0,84.964,"73,000",11,,중개거래,2024,9,11,,,,,개인,개인,서울 중랑구,중랑구,망우동,실거래,2024-09-22
현대,1994.0,72.63,"57,000",1,,중개거래,2024,9,13,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
신안3,2000.0,59.86,"58,500",13,,중개거래,2024,9,13,,,,,개인,개인,서울 중랑구,중랑구,묵동,실거래,2024-09-22
면목한신,1987.0,45.44,"43,000",9,,중개거래,2024,9,10,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
신내 데시앙포레,2013.0,84.94,"73,800",15,,중개거래,2024,9,7,,,,,개인,개인,서울 중랑구,중랑구,신내동,실거래,2024-09-22
면목삼익아파트,1997.0,59.5,"59,000",2,,중개거래,2024,9,6,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
사가정센트럴아이파크,2020.0,114.853,"165,000",27,,중개거래,2024,9,7,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
이편한세상화랑대,2017.0,84.834,"92,000",7,,직거래,2024,9,10,,,,,개인,개인,,중랑구,묵동,실거래,2024-09-22
이편한세상화랑대,2017.0,84.902,"103,700",8,,중개거래,2024,9,2,,,,,개인,개인,서울 중랑구,중랑구,묵동,실거래,2024-09-22
건영2차,1996.0,57.3,"59,500",22,,중개거래,2024,9,6,,,,,개인,개인,서울 중랑구,중랑구,신내동,실거래,2024-09-22
금호어울림(580),2006.0,84.93,"63,500",5,,중개거래,2024,9,3,,,,,개인,개인,서울 중랑구,중랑구,망우동,실거래,2024-09-22
SG타워,2004.0,84.92,"53,000",9,,중개거래,2024,9,3,,,,,개인,개인,서울 중랑구,중랑구,상봉동,실거래,2024-09-22
이편한세상화랑대,2017.0,84.834,"106,000",11,,중개거래,2024,9,2,,,,,개인,개인,서울 중랑구,중랑구,묵동,실거래,2024-09-22
리더스,2019.0,28.01,"31,500",8,,중개거래,2024,9,6,,,,,개인,개인,서울 중랑구,중랑구,상봉동,실거래,2024-09-22
한일써너스빌,2003.0,84.914,"84,200",13,,중개거래,2024,9,7,,,,,개인,개인,서울 중랑구,중랑구,상봉동,실거래,2024-09-22
신내 데시앙포레,2013.0,84.94,"71,000",1,,중개거래,2024,9,7,,,,,개인,개인,서울 중랑구,중랑구,신내동,실거래,2024-09-22
면목동금호어울림아파트,2005.0,84.8726,"69,500",3,,중개거래,2024,9,5,,,,,개인,개인,서울 중랑구,중랑구,면목동,실거래,2024-09-22
동성1,1993.0,65.56,"47,000",8,1,중개거래,2024,9,5,,,24.09.06,,개인,개인,서울 중랑구,중랑구,신내동,실거래,2024-09-22
상봉베스트원,2019.0,27.31,"28,000",7,,중개거래,2024,9,3,,,,,개인,개인,서울 중랑구,중랑구,상봉동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,59.86,"69,400",12,,중개거래,2024,9,13,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
두산,1998.0,164.92,"93,000",25,,중개거래,2024,9,20,,,,,개인,개인,서울 성북구,성북구,석관동,실거래,2024-09-22
동신,1998.0,59.88,"55,500",4,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
동아에코빌,2003.0,59.95,"65,000",20,,중개거래,2024,9,6,,,,,개인,개인,서울 성북구,성북구,상월곡동,실거래,2024-09-22
래미안아트리치,2019.0,59.98,"97,000",4,,중개거래,2024,9,10,,,,,개인,개인,서울 성북구,성북구,석관동,실거래,2024-09-22
참누리아파트,2006.0,84.98,"74,000",5,,중개거래,2024,9,19,,,,,개인,개인,서울 성북구,성북구,장위동,실거래,2024-09-22
길음뉴타운3단지푸르지오,2005.0,59.99,"71,000",16,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
길음뉴타운1단지(래미안길음1차),2003.0,84.96,"93,000",14,,중개거래,2024,9,13,,,,,개인,기타,"경기 용인시 기흥구, 서울 성북구",성북구,길음동,실거래,2024-09-22
동아에코빌,2003.0,59.95,"62,000",12,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,상월곡동,실거래,2024-09-22
아이파크종암동1차,2004.0,59.73,"77,800",8,,중개거래,2024,9,14,,,,,개인,개인,서울 성북구,성북구,종암동,실거래,2024-09-22
길음뉴타운경남아너스빌,1999.0,59.59,"59,000",16,,중개거래,2024,9,13,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
길음뉴타운경남아너스빌,1999.0,45.77,"49,900",8,,중개거래,2024,9,13,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,84.64,"95,000",12,,중개거래,2024,9,13,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
중앙하이츠빌1단지,2004.0,59.98,"58,000",4,,중개거래,2024,9,13,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
안암동삼성래미안,2005.0,84.8681,"90,000",13,,중개거래,2024,9,13,,,,,개인,개인,서울 성북구,성북구,안암동1가,실거래,2024-09-22
정릉스카이쌍용아파트,1999.0,109.27,"78,500",19,,중개거래,2024,9,9,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
정릉힐스테이트3차,2008.0,84.97,"83,500",9,,중개거래,2024,9,1,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
래미안세레니티,2009.0,84.98,"105,000",23,,중개거래,2024,9,1,,,,,개인,개인,서울 성북구,성북구,종암동,실거래,2024-09-22
DH팰리스타워,2021.0,59.98,"66,000",10,,직거래,2024,9,10,,,24.09.13,,개인,개인,,성북구,보문동7가,실거래,2024-09-22
정릉2차e-편한세상,2009.0,59.37,"71,300",5,,직거래,2024,9,12,,,,,개인,개인,,성북구,정릉동,실거래,2024-09-22
한신,1998.0,68.13,"66,800",8,,중개거래,2024,9,3,,,,,개인,개인,서울 성북구,성북구,돈암동,실거래,2024-09-22
래미안포레카운티,2021.0,59.92,"84,000",18,,중개거래,2024,9,10,,,,,개인,개인,서울 성북구,성북구,장위동,실거래,2024-09-22
길음뉴타운2단지푸르지오,2005.0,84.97,"85,500",11,,중개거래,2024,9,8,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
꿈의숲푸르지오,2010.0,59.65,"73,000",8,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
꿈의숲푸르지오,2010.0,84.73,"80,000",10,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,84.64,"95,000",15,,중개거래,2024,9,3,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,59.97,"80,500",11,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
롯데캐슬클라시아,2022.0,59.8826,"117,000",3,,중개거래,2024,9,6,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
꿈의숲코오롱하늘채,2017.0,59.92,"90,000",3,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,장위동,실거래,2024-09-22
보문파크뷰자이,2017.0,59.81,"96,500",12,,중개거래,2024,9,6,,,,,개인,개인,서울 성북구,성북구,보문동6가,실거래,2024-09-22
삼익,1983.0,98.04,"70,000",2,2동,중개거래,2024,9,9,,,24.09.13,,개인,개인,서울 성북구,성북구,안암동3가,실거래,2024-09-22
정릉풍림아이원,2005.0,84.09,"69,500",16,,중개거래,2024,9,10,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
월곡래미안루나밸리,2007.0,84.88,"91,500",16,106,중개거래,2024,9,9,,,24.09.13,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
정릉우성아파트 101~105동,2000.0,84.96,"65,200",8,,중개거래,2024,9,5,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
월곡두산위브,2003.0,84.843,"82,000",5,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
래미안아트리치,2019.0,84.98,"110,000",11,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,석관동,실거래,2024-09-22
돈암힐스테이트,2007.0,112.42,"100,000",3,,중개거래,2024,9,10,,,,,개인,개인,서울 성북구,성북구,돈암동,실거래,2024-09-22
래미안길음센터피스,2019.0,109.98,"185,000",32,,중개거래,2024,9,9,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
동아에코빌,2003.0,84.97,"73,000",14,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,상월곡동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,59.97,"72,800",3,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
센트럴힐,2003.0,66.84,"45,000",5,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,종암동,실거래,2024-09-22
베로니스,2020.0,56.97,"52,000",14,,중개거래,2024,9,6,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
동아에코빌,2003.0,84.97,"74,000",5,,중개거래,2024,9,9,,,,,개인,개인,서울 성북구,성북구,상월곡동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,59.97,"79,000",9,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
길음뉴타운8단지(래미안),2010.0,59.9,"94,000",3,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
한진(609-1),1998.0,59.58,"57,000",17,,중개거래,2024,9,3,,,,,개인,개인,서울 성북구,성북구,돈암동,실거래,2024-09-22
래미안포레카운티,2021.0,84.97,"103,000",6,,중개거래,2024,9,3,,,,,개인,개인,서울 성북구,성북구,장위동,실거래,2024-09-22
길음뉴타운3단지푸르지오,2005.0,59.99,"71,000",16,,중개거래,2024,9,7,O,24.09.19,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
종암에스케이,1999.0,84.72,"76,000",3,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,종암동,실거래,2024-09-22
안암동삼성래미안,2005.0,59.6983,"75,500",9,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,안암동1가,실거래,2024-09-22
안암동삼성래미안,2005.0,59.6983,"75,500",9,,중개거래,2024,9,7,O,24.09.07,,,개인,개인,서울 성북구,성북구,안암동1가,실거래,2024-09-22
정릉풍림아이원,2005.0,59.88,"49,700",15,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
이수브라운스톤돈암,2004.0,59.99,"74,500",4,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,돈암동,실거래,2024-09-22
래미안아트리치,2019.0,59.98,"98,000",18,,중개거래,2024,9,6,,,,,개인,개인,서울 성북구,성북구,석관동,실거래,2024-09-22
라온유,2008.0,84.65,"84,000",26,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,59.86,"77,000",2,,중개거래,2024,9,7,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
길음뉴타운1단지(래미안길음1차),2003.0,114.98,"119,500",9,,중개거래,2024,9,5,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
이수브라운스톤돈암,2004.0,84.97,"89,700",4,,중개거래,2024,9,5,,,,,개인,개인,서울 성북구,성북구,돈암동,실거래,2024-09-22
길음뉴타운4단지(e편한세상),2005.0,84.64,"90,000",3,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,길음동,실거래,2024-09-22
래미안세레니티,2009.0,59.97,"88,000",6,,중개거래,2024,9,3,,,,,개인,개인,"서울 도봉구, 서울 성북구",성북구,종암동,실거래,2024-09-22
월곡두산위브,2003.0,84.843,"81,500",17,,중개거래,2024,9,2,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
정릉힐스테이트3차,2008.0,59.98,"67,000",3,,중개거래,2024,9,4,,,,,개인,개인,서울 성북구,성북구,정릉동,실거래,2024-09-22
돈암동해피트리,2013.0,132.43,"105,000",8,,중개거래,2024,9,2,,,,,개인,개인,서울 성북구,성북구,돈암동,실거래,2024-09-22
동신,1998.0,59.88,"57,000",3,,중개거래,2024,9,3,,,,,개인,개인,서울 성북구,성북구,하월곡동,실거래,2024-09-22
